#,Company,City,State,Year Est,GSTIN,Phone,Brands,Best Product,Price,MOQ,IndiaMART URL
1,M/s Radha Kishan Bishan Dass Rang Rasayan Private Limited,Hathras,Uttar Pradesh,2010,09AAHCR0680B1ZK,8043883410,,Tota Water Shooting Car (RC Car),2215,10,https://www.indiamart.com/totacolors/pichkari.html#tota-water-shooting-car-rc-car
2,Hitendar Sales Corporation,Bengaluru,Karnataka,2011,29AAHFH2998D1Z1,8047693080,Centy,Ambassador Taxi Toy Car,195,25,https://www.indiamart.com/hitendarsalescorporation/kids-toys.html#ambassador-taxi-toy-car
3,E Cube Power,Chennai,Tamil Nadu,2013,33BATPP9026M1ZY,7949312512,,6v Nicd Yellow Kids Battery Powered Remote Control Car,150,,https://www.indiamart.com/ecubepower/remote-control-car-toy.html#6v-nicd-yellow-kids-battery-powered-remote-control-car
4,Loty Store,Chennai,Tamil Nadu,2014,33EIDPK9407A1ZN,8047665805,Climbing,Loty Store 4wd 20+ km/h speed drift rc car Toy,1075,,https://www.indiamart.com/loty-store/kids-remote-control-car.html#loty-store-4wd-20-km-h-speed-drift-rc-car-toy
5,Monopoly Marketing,Chennai,Tamil Nadu,2014,33AIHPS2654R1ZL,8043847565,,KIDS SPORTS CAR,399,,https://www.monopolymarketing.co.in/kids-push-ride-on.html#kids-sports-car
6,Ramdev Impex,Chennai,Tamil Nadu,2015,33AOPPK4705D1Z6,8047812326,Hot Wheels,Rotating Rolling RC Car,2699,,https://www.indiamart.com/ramdev-impex-chennai/kids-toys.html#rotating-rolling-rc-car
7,Aurora Concept Construction & Maintenance,Chennai,Tamil Nadu,2015,33BJSPD6286M1ZK,7942790346,,RC Radio Control Stunt Car,399,100,https://www.indiamart.com/aurora-concept-construction-maintenance/radio-control-stunt-car.html#rc-radio-control-stunt-car
8,Manthra Fancy World,Chennai,Tamil Nadu,2015,33AUMPA8138R1Z3,7942551240,,"Red Remote Control Rotating Rolling Stunt RC Car, Scale: 1:10",800,10,https://www.indiamart.com/manthra-fancy-world/
9,HM Toys,Chennai,Tamil Nadu,2015,33AFAPC6354A1Z9,8047785058,,"Red Driver Realistic Kids Toy Car, No. Of Wheel: 4, Packaging Type: Box",180,,https://www.indiamart.com/hmtoys/vehicle-toy.html#red-driver-realistic-kids-toy-car-no-of-wheel-4-packaging-type-box
10,Novo3d,Coimbatore,Tamil Nadu,2015,33BEPPS3357L1ZV,7942545947,Tech RC,Glowrider Big RC Car,830,,https://www.indiamart.com/novo3d/
11,Gift World,Chennai,Tamil Nadu,2015,33AIUPB8930A2ZG,8043890841,,Kids Remote Control Toy,200,,https://www.gift-world.in/
12,Raja Plastic,New Delhi,Delhi,2015,07AINPA8441N1ZV,8048205447,,"Multicolor R/C MODEL CAR WITH LIGHT, Metal (Die Cast)",105,96,https://www.rajaplastic.co.in/toy-car.html#multicolor-r-c-model-car-with-light-metal-die-cast
13,Sri Laxmi Toys,Chennai,Tamil Nadu,2016,33GFAPK7537D1ZM,7949304100,,Plastic Kids Remote Control Car,250,,https://www.indiamart.com/srilaxmitoys/kids-toys.html#plastic-kids-remote-control-car
14,SMK Traders,Dindigul,Tamil Nadu,2016,33CVUPA2793M1Z0,7942541527,Padmavati Toys,Padmavati Toys Fast Modern Car,180,10,https://www.indiamart.com/smk-tradersdindigul/car-toy.html#padmavati-toys-fast-modern-car
15,V.S.Trading Co.,Chennai,Tamil Nadu,2017,33AAAFV0599B1ZG,7949084448,Street Fire,"Plastic Rc Car Toy, 12 m",450,5,https://www.indiamart.com/v-stradingco/remote-control-toys.html#plastic-rc-car-toy-12-m
16,Sri Annai Pharmacy,Chennai,Tamil Nadu,2017,33AAUPA8713E1ZU,8047520517,,Remote Control Robot Car,280,,https://www.indiamart.com/sri-annai-pharmacy-chennai/kids-remote-control-toy-vehicle.html#remote-control-robot-car
17,Ahilya Enterprises,Badlapur,Maharashtra,2017,27ATLPA0208J1Z0,7943439525,Magic car,Magic Induction RC Intelligent Sensor Car,900,48,https://www.indiamart.com/ahilyaenterprisesindia/
18,Dhan Laxmi Impex,Chennai,Tamil Nadu,2017,33AHJPG0835D1ZW,"5199, 8047520223",,Kids Toys Car,0,,https://www.indiamart.com/dhanlaxmi-impex/kids-toy.html#kids-toys-car
19,Truebucks Enterprises,New Delhi,Delhi,2017,07BBIPS2306F1ZT,8047662364,,Aaa Green Rc Drift Car,600,24,https://www.truebucks.in/kids-toy.html#aaa-green-rc-drift-car
20,Sun Bright Marketing,Chennai,Tamil Nadu,2017,33AAMPM8261F1ZL,"4333, 8047520440",,Car Toy,500,,https://www.indiamart.com/sun-bright-marketing/
21,Bhawani Enterprises,Chennai,Tamil Nadu,2018,33ACXPC9397D1Z5,7942870100,Lumo,Rc Drift Car,700,6,https://www.indiamart.com/bhawani-enterprise-chennai/
22,P N Agencys,Chennai,Tamil Nadu,2018,33AAGPN7502G1ZY,"7515, 8043800590",,Plastic 3D Light Wireless R/C Car,128,96,https://www.indiamart.com/p-n-agencys/car-toy.html#plastic-3d-light-wireless-r-c-car
23,Rudi Toy's Kingdom,Chennai,Tamil Nadu,2018,33FHEPA0223D1ZC,8048262001,,Black BMW X6 Remote Control Car Plastic Toy,1875,30,https://www.indiamart.com/rudi-toys-kingdom/plastic-toys.html#black-bmw-x6-remote-control-car-plastic-toy
24,Rajendra Marketings,Chennai,Tamil Nadu,2018,33AGXPK8128L1ZP,7949351859,,CROSS COUNTRY CAR OFF-ROAD TOY CAR SET (S-154),60,,https://www.indiamart.com/rajendra-marketings/board-games.html#cross-country-car-off-road-toy-car-set-s-154
25,Sri Neevee Enterprises,Chennai,Tamil Nadu,2018,33AFDFS6177C1Z2,7948218922,,WOODEN RACER CAR,120,10,https://www.indiamart.com/sri-neevee-enterprises/
26,Maruti Novelty,Chennai,Tamil Nadu,2018,33ACYPH9547D1Z7,8047670742,,Small Toy Cars,90,12,https://www.indiamart.com/maruti-novelty/toys.html#small-toy-cars
27,B Shah Enterprises,Vasai Virar,Maharashtra,2018,27EJVPS3666G1ZB,8047633191,,"Plastic F1 Racing Car with Light And Sound , 1:14 Scale",370,1,https://www.bshahenterprises.com/toy-vehicles.html#plastic-f1-racing-car-with-light-and-sound-1-14-scale
28,Mega Deals,Surat,Gujarat,2018,24BJQPJ4656P2ZE,8047676929,,MD-777 Mini Metal Racing Cars & Toy Vehicles,650,1000,https://www.indiamart.com/mega-deals-surat/kids-toy.html#md-777-mini-metal-racing-cars-toy-vehicles
29,Blue Rank Co.,Jaipur,Rajasthan,2018,08GBTPS1524M1ZU,7942626921,Bluerank,Remote Control Formula One F1 High Speed Sports Car,425,,https://www.indiamart.com/blue-rank-rajasthan/remote-control-car.html#remote-control-formula-one-f1-high-speed-sports-car
30,Deodap,Rajkot,Gujarat,2018,24AALFD7390P1ZQ,7949347723,Deodap,Electroplay High-Speed Remote Control Racing Car (1 Set) 4416,832,50,https://www.indiamart.com/deodap/toys.html#electroplay-high-speed-remote-control-racing-car-1-set-4416
31,Prime Communications,Chennai,Tamil Nadu,2019,33KOTPK1423L1ZI,8047523541,,WILD HUNT RC CAR 2WD HIGH SPEED REMOTE CONTROL WHOLSALE,1499,12,https://www.indiamart.com/primecommunications-chennai/
32,Sri Pawan Toys,Chennai,Tamil Nadu,2019,33ESPPD4917N1ZA,8043829946,,Kids Plastic Monster Wire Control Car Toy,84,,https://www.indiamart.com/sripawantoys/
33,Mayatra Enterprises,Mumbai,Maharashtra,2019,27AAWFM6812C1Z2,8047623874,,RC Drift Car With Camera & Screen Remote (C6 Mini),1875,5,https://www.indiamart.com/mayatra-enterprises/kids-remote-control-car.html#rc-drift-car-with-camera-screen-remote-c6-mini
34,Vision Enterprises,New Delhi,Delhi,2019,07AAUFV0561D1Z1,8045909714,,Mini Rc Car,1050,10,https://www.visionenterprises89.com/
35,Sundha Impex,Chennai,Tamil Nadu,2019,33AXBPR7752G1ZC,"6541, 8043816826",,Remote Racing Car Toy,500,,https://www.indiamart.com/sundha-impex/toys.html#remote-racing-car-toy
36,Dev Narayan Marketing,Surat,Gujarat,2019,24DIQPR1974H1ZP,7942959734,,Plastic Bat-Man Remote Control Spray Car High Speed Rc Cars Toys,600,,https://www.indiamart.com/devnarayanmarketing/toys.html#plastic-bat-man-remote-control-spray-car-high-speed-rc-cars-toys
37,Dabster International Private Limited,Rajkot,Gujarat,2019,24AAHCD5265C1ZX,7949303883,Deodap,High-Speed Remote Control Racing Car (1 Set) 4416,912,5,https://www.dabster.international/toys-baby-care-1.html#high-speed-remote-control-racing-car-1-set-4416
38,Power International,Chennai,Tamil Nadu,2020,33AICPJ0218M1ZL,8047655509,,Multicolor Plastic Car Remote Control Cars,160,100,https://www.indiamart.com/power-international-chennai/kids-remote-control-car.html#multicolor-plastic-car-remote-control-cars
39,Liya V Enterprises,New Delhi,Delhi,2020,07BCPPV0194N1ZQ,8047658249,,Rc Drift 4wd,740,36,https://www.liyavtoys.com/kids-remote-control-toy-vehicle.html#rc-drift-4wd
40,Ekidar,Kochi,Kerala,2021,32CRZPT0888H1ZX,8047622879,Ekidar,Mini Rc Intelligent Sensor Stunt Car Mini Dream Racing Car Follow Me Escape Mode Fall Resistant Car,950,1,https://www.ekidar.com/kids-toys.html#mini-rc-intelligent-sensor-stunt-car-mini-dream-racing-car-follow-me-escape-mode-fall-resistant-car
41,Shine Traders,Mumbai,Maharashtra,2021,27CZQPK8024H1ZY,8047793877,,"K5080A6 Mini RC Drift Die Cast Car (1:64 Scale, Rechargeable)",850,1,https://www.shinetraders.net/kids-remote-control-car.html#k5080a6-mini-rc-drift-die-cast-car-1-64-scale-rechargeable
42,Dd Entreprises,Chennai,Tamil Nadu,2021,33GTHPD1283E1Z0,"5817, 8047655336",,Rc Remote Control Car Off Road Reachargable with smoke ejector premium quality,600,1,https://www.indiamart.com/company/134683327/remote-control-toys.html#rc-remote-control-car-off-road-reachargable-with-smoke-ejector-premium-quality
43,RV Enterprises,New Delhi,Delhi,2021,07BCQPT8190K1ZL,7942795485,,Rock Crawler Car Remote Control 5 Function High Speed 1:18 Rc Car Toys,395,36,https://www.rventerprisesindia.com/remote-control-car.html#rock-crawler-car-remote-control-5-function-high-speed-1-18-rc-car-toys
44,A.K.N Traders,Mumbai,Maharashtra,2021,27CBMPN5666G1Z4,7942869187,Super High,THOMAS TRAIN MONSTER CAR TOY,243,234,https://www.akntraders.com/
45,Om Enterprises,Chennai,Tamil Nadu,2021,33ANGPJ2762H1Z5,"1767, 7942801921",,Toy Cars,650,,https://www.indiamart.com/omenterprises-128248477/
46,CTM Toys,Mumbai,Maharashtra,2022,27AADFW5577H1ZP,7942869160,Toyboi,Rc Drift Car,720,,https://www.indiamart.com/whitehousetoys/
47,Royal Novelty,Chennai,Tamil Nadu,2022,33AREPP2485K1ZI,8043884376,,ABS Plastic Battery R. C car,150,,https://www.indiamart.com/royalnovelty/kids-toy.html#abs-plastic-battery-r-c-car
48,Ratnaakar Impex,Bengaluru,Karnataka,2022,29AXMPJ6837F1Z0,7942843226,,Rc Drift 4wd,2300,1,https://www.indiamart.com/ratnaakarimpex/kids-toys.html#rc-drift-4wd
49,Smitox B2B,Mumbai,Maharashtra,2022,27BBVPJ8642Q1ZH,8048211165,,"Fast Modern Car With Remote, Scale: 1:32",95,96,https://www.indiamart.com/smitoxbtob/graphics-card.html#fast-modern-car-with-remote-scale-1-32
50,Hare Krishna Enterprises,New Delhi,Delhi,2022,07ABJPS7967E1Z2,8047803566,,"Kids Plastic Drift Go Toy Racing Car, Scale: 1:22",650,10,https://www.indiamart.com/harekrishnaenterprises-newdelhi/kids-toy.html#kids-plastic-drift-go-toy-racing-car-scale-1-22
51,Rozzby,Surat,Gujarat,2022,24BYHPG0953Q1Z3,8047622002,,Rechargeable 3D Lights Famous Remote Control High Speed Racing Car Toy for Kids Blue,200,2000,https://www.cheaperzonetoys.com/kids-toys.html#rechargeable-3d-lights-famous-remote-control-high-speed-racing-car-toy-for-kids-blue
52,Shah International,Chennai,Tamil Nadu,2023,33AFCFS0538Q1ZP,7942963807,,Elephant Car Twist Car,1180,3,https://www.playschoolfurnitureindia.com/magic-car.html#elephant-car-twist-car
53,Basketo,Surat,Gujarat,2023,24BKOPH2254Q1ZP,7942716532,,Smart RC Drift Car Toy,820,100,https://www.basketo.net/kids-toy.html#smart-rc-drift-car-toy
54,Usha Toy Stor,Chennai,Tamil Nadu,2023,33PNIPS7296L1ZR,"7942702560, 8517",,WISHKEY Remote Control Super High Speed Racing Car,0,,https://www.indiamart.com/company/194990824/
55,Indial Premium Products,New Delhi,Delhi,2024,07CSBPG8868D1ZL,7942841121,,"Rc Car Toy, Scale: 1:10",105,72,https://www.ippwholesaler.com/toys-supplier.html#rc-car-toy-scale-1-10
56,Megha Toys,Chennai,Tamil Nadu,2024,33AIZPC0125B1ZU,8047652297,,Toy Cars,70,,https://www.indiamart.com/megha-toys/
57,Divine Creations,New Delhi,Delhi,2024,07BLGPA0877F1ZC,7949082860,,ABS Wireless Remote Control Car Toy with stearing,120,150,https://www.indiamart.com/divine-creations-newdelhi/kids-toys.html#abs-wireless-remote-control-car-toy-with-stearing
58,Iscon Mart,Surat,Gujarat,2024,24AAKFI6794H1ZX,8047682182,,"RC CAR 888, Scale: 1:10",150,,https://www.indiamart.com/iscon-mart-gujarat/
59,Kaira Enterprise,Surat,Gujarat,2024,24FTSPR9005N2ZR,7949325958,Maisto,RC Monster Truck Rock Crawler (LMI-7709),340,100,https://www.prementerprise.in/kids-toy.html#rc-monster-truck-rock-crawler-lmi-7709
60,Gakasn Enterprises,Chennai,Tamil Nadu,2024,33EPXPM2948F1ZD,"8047767128, 8930",,"Remote Control Car with Lights ,HighSpeed RC Car with LED Lights, Off-Road Racing Vehicle",175,6,https://www.indiamart.com/company/224025260/kids-toy.html#remote-control-car-with-lights-highspeed-rc-car-with-led-lights-off-road-racing-vehicle
61,Hilltop Enterprises,Surat,Gujarat,2024,24GRGPS0133D1Z4,8047801446,,5 Function Fog Spray High Speed 1:20 Rc Car,420,,https://www.indiamart.com/hilltop-enterprisesgujarat/remote-control-toys.html#5-function-fog-spray-high-speed-1-20-rc-car
62,Chryztafa,Chennai,Tamil Nadu,2025,33BCXPC6472N1ZX,"7913, 8047312393",,RC Car 1:43,799,,https://www.indiamart.com/the-dot-enterprise/
63,Shree Balaji Impex,New Delhi,Delhi,2025,07DSZPA6901E1ZM,8043887989,,"Drift RC Remote Control Thar Toy Car, Scale: 1:32",310,25,https://www.kidookraft.com/remote-control-car.html#drift-rc-remote-control-thar-toy-car-scale-1-32
