#,Name,City,Category,GMaps Sub-Category,Phone,Address,Website,Stars,Reviews,Email
1,Daddy Drones Mumbai,Mumbai,HOBBY_RC,Hobby store,+91 72082 04541,"84/670, off New Link Road, behind Zebra Showroon, Motilal Nagar III, Goregaon West, Mumbai, Maharashtra 400104, India",https://www.daddydrones.in/,4.4,1762,support@shreethemes.in
2,Toy Collectors India,Mumbai,HOBBY_RC,Hobby store,+91 85918 58513,"Shop no 413 4th Floor, HillView Industrial Estate, inside Siddhpura Industrial, behind R City Mall, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086, India",https://toycollectorsindia.in/,4.7,909,support@toycollectorsindia.com
3,NVX Drone Store,Delhi,HOBBY_RC,Hobby store,+91 95609 21619,"C Block, C42/2 1st Floor Dwarka Sadan, Middle Cir, Connaught Place, New Delhi, Delhi 110001, India",https://nvdronestore.com/,4.7,763,
4,Melody Science Projects (Science Hub),Delhi,HOBBY_RC,Hobby store,+91 98111 11537,"B3B, near INOX parking, opp. KFC, Janakpuri District Center, Janakpuri, Delhi, 110058, India",https://www.melodyprojects.in/,4.8,595,"melodyprojects@gmail.com, mail@melodyprojects.com"
5,New Silikon Electronics,Mumbai,HOBBY_RC,Hobby store,+91 98338 62543,"Shop no 6, Shivoham Apartments, Procter Rd, Grant Road East, Shapur Baug, Grant Road, Mumbai, Maharashtra 400007, India",,4.2,457,
6,Science Hobby Centre,Delhi,HOBBY_RC,Store,+91 98715 51050,"Shop No. UG-9, Vishwa Sadan, Janakpuri District Center, Janakpuri, New Delhi, Delhi 110058, India",,3.4,277,
7,TRD Enterprises,Delhi,HOBBY_RC,Hobby store,+91 84477 78475,"28D, Janakpuri Rd, BB Block, Janakpuri, New Delhi, Delhi, 110058, India",http://www.trdestore.com/,4.7,268,mk@F1.1
8,RcBazaar Pune,Pune,HOBBY_RC,Hobby store,,"Shriram Yashoda Complex, Building, Baner Rd, Balewadi Phata, Baner, Pune, Maharashtra 411045, India",http://www.rcbazaar.com/,3.9,248,"enquiry@rcbazaar.com, info@avionicglobal.com, helpdesk@rcbazaar.com"
9,Jacks-Hobbies,Hyderabad,HOBBY_RC,Aeromodel shop,+91 95023 76611,"1st floor, plot No, 1, Rd Number 3, North H Block, Journalist Colony, Banjara Hills, Hyderabad, Telangana 500082, India",http://www.jackshobbies.in/,3.8,215,
10,Aradioc Pvt. Ltd.,Hyderabad,HOBBY_RC,Aeromodel shop,+91 86864 46535,"1-398/35, IAS Colony, Toli Chowki, Hyderabad, Telangana 500008, India",,4.7,190,
11,xyzhobby.com,Delhi,HOBBY_RC,Hobby store,+91 99113 63711,"House no 119 DDA FLATS WELCOME SEELAMPUR 3, Shahdara, New Delhi, Delhi 110053, India",http://www.xyzhobby.com/,4.8,164,
12,RcBazaar Mumbai,Mumbai,HOBBY_RC,Hobby store,+91 22 2887 6644,"2nd floor, Growel's 101 mall, Kandivali, Akurli Industry Estate, Kandivali East, Mumbai, Maharashtra 400101, India",http://www.rcbazaar.com/,4,104,"info@avionicglobal.com, helpdesk@rcbazaar.com, enquiry@rcbazaar.com"
13,Shree Creators Model Making Company | Architectural Model Making | Miniature Model Maker | 3D Scale Model Maker,Mumbai,HOBBY_RC,Architectural and engineering model maker,+91 99677 28138,"H.O, Best Colony Rd, Motilal Nagar I, Goregaon West, Mumbai, Maharashtra 400104, India",https://shreecreators.com/,4.9,102,info@shreecreators.com
14,Dwarka Hobby Shop Aquarium,Delhi,HOBBY_RC,Aquarium shop,+91 99538 45849,"C-924, Block C, Sector 7 Dwarka, Dwarka, New Delhi, Delhi, 110077, India",,3.3,101,
15,INDIAN MODEL MAKERS,Chennai,HOBBY_RC,Telescope store,+91 98457 10448,"Plot No, 126/142, Big St, next to KRP Mansion, Narayana Krishnaraja Puram, Triplicane, Chennai, Tamil Nadu 600005, India",http://www.indianmodelmakers.com/,4.8,74,"contactus@indianmodelmakers.com, donate@opencart.com"
16,Aircraft model store,Mumbai,HOBBY_RC,Hobby store,+91 83692 86214,"Saint Peters Road, Hill Rd, Bandra West, Mumbai, Maharashtra 400050, India",,4.8,67,
17,Airmodelcrafts,Delhi,HOBBY_RC,Aeromodel shop,+91 99535 17691,"paschim vihar east metro station, opp. to pilar 218, Delhi 110063, India",https://airmodelcrafts.grexa.site/,5,60,
18,DJI Drone shop,Delhi,HOBBY_RC,Hobby store,+91 96672 51959,"Nitin Apartments, Prema Kunj, Civil Lines, Delhi, 110054, India",,4.6,53,
19,NGF Gaming Arena - RC Racing Playground,Hyderabad,HOBBY_RC,Recreation center,+91 98969 96300,"1-5-1118/7, Road No. 9, below Funtoosh play town, Kandlakoya, Old Alwal, Bolarum, Hyderabad, Secunderabad, Telangana 500067, India",https://www.instagram.com/ngf.gaming.arena/,4.7,51,
20,Traxxas India,Delhi,HOBBY_RC,Hobby store,+91 99207 99822,"d b gupta market, 187, Gurudwara Rd, Karol Bagh, New Delhi, Delhi 110005, India",,4.1,44,
21,SS Hobby Centre,Chennai,HOBBY_RC,Hobby store,+91 78888 96969,"21/28, Managappan Street, near Motilal Fomra School, Sowcarpet, George Town, Chennai, Tamil Nadu 600001, India",,4.5,40,
22,"Nimitt craft shack 4 (Hobby,Handwriting & Customised gift Store)",Pune,HOBBY_RC,Hobby store,+91 95451 91715,"Shop no. 223, Palladium Exotica, 2nd Floor, Lohegaon Rd, above Cotton King, Madhav Nagar, Dhanori, Pune, Maharashtra 411015, India",http://www.nimittcraftshack4.com/,4.9,40,nimittcraftshack4@gmail.com
23,MRC Hobbies,Mumbai,HOBBY_RC,Hobby store,+91 88501 07241,"2nd Floor, PN Kothari Industrial Estate, 201, Lal Bahadur Shastri Marg, near navkar Hospital, Sonapur, Bhandup West, Mumbai, Maharashtra 400078, India",https://mrchobbies.com/,4.7,31,contact.mrchobbies@gmail.com
24,Veels on 5er Racing & Hobbies,Hyderabad,HOBBY_RC,Hobby store,+91 90002 32464,"Sultan Nagar, Ameerpet, Hyderabad, Telangana 500114, India",https://www.instagram.com/veelson5er/?hl=en,4.6,27,
25,RC Racing Hobbies,Delhi,HOBBY_RC,Hobby store,+91 99111 15451,"S-35, Ram Dulari Tundelkar Ji Rd, Pocket S, Okhla Phase II, Okhla Industrial Estate, New Delhi, Delhi 110020, India",,4.6,26,
26,Cinerigs,Mumbai,HOBBY_RC,Hobby store,+91 93722 16165,"Malad, Evershine Nagar, Malad West, Mumbai, Maharashtra 400064, India",https://www.cinerigs.in/,4.8,23,"INFO@CINERIGS.IN, info@cinerigs.in"
27,AR Model Makers | Scale Model Making Company | Industrial Model Making | Engineering Model Making | Marine Model Makers,Mumbai,HOBBY_RC,Architectural and engineering model maker,+91 82638 62853,"A-WING, 36, Dr Annie Besant Rd, Tulsi Vihar, Gopal Nagar, Worli, Mumbai, Maharashtra 400025, India",https://www.armodelmakers.com/,5,20,info@armodelmakers.com
