Tier,Source,Name,Location,Phone,GSTIN,Rating,Sample Product / Brands,Why this tier,URL
MANUFACTURER,IndiaMART,B Shah Enterprises,"Vasai Virar, Maharashtra",8047633191,27EJVPS3666G1ZB,,"Plastic F1 Racing Car with Light And Sound , 1:14 Scale ₹370 MOQ 1",Known Indian brand owner,https://www.bshahenterprises.com/toy-vehicles.html#plastic-f1-racing-car-with-light-and-sound-1-14-scale
MANUFACTURER,IndiaMART,Mega Deals,"Surat, Gujarat",8047676929,24BJQPJ4656P2ZE,,MD-777 Mini Metal Racing Cars & Toy Vehicles ₹650 MOQ 1000,Known Indian brand owner,https://www.indiamart.com/mega-deals-surat/kids-toy.html#md-777-mini-metal-racing-cars-toy-vehicles
MANUFACTURER,IndiaMART,Rozzby,"Surat, Gujarat",8047622002,24BYHPG0953Q1Z3,,Rechargeable 3D Lights Famous Remote Control High Speed Racing Car Toy for Kids Blue ₹200 MOQ 2000,Known Indian brand owner,https://www.cheaperzonetoys.com/kids-toys.html#rechargeable-3d-lights-famous-remote-control-high-speed-racing-car-toy-for-kids-blue
MANUFACTURER,IndiaMART,Iscon Mart,"Surat, Gujarat",8047682182,24AAKFI6794H1ZX,,"RC CAR 888, Scale: 1:10 ₹150 MOQ ",Known Indian brand owner,https://www.indiamart.com/iscon-mart-gujarat/
MANUFACTURER,IndiaMART,Hilltop Enterprises,"Surat, Gujarat",8047801446,24GRGPS0133D1Z4,,5 Function Fog Spray High Speed 1:20 Rc Car ₹420 MOQ ,Known Indian brand owner,https://www.indiamart.com/hilltop-enterprisesgujarat/remote-control-toys.html#5-function-fog-spray-high-speed-1-20-rc-car
MANUFACTURER,GMaps,Shree Creators Model Making Company | Architectural Model Making | Miniature Model Maker | 3D Scale Model Maker,Mumbai,+91 99677 28138,,4.9★/102,Architectural and engineering model maker,Model/aero/architectural maker (architectural and engineering model maker),"H.O, Best Colony Rd, Motilal Nagar I, Goregaon West, Mumbai, Maharashtra 400104, India"
MANUFACTURER,GMaps,AR Model Makers | Scale Model Making Company | Industrial Model Making | Engineering Model Making | Marine Model Makers,Mumbai,+91 82638 62853,,5★/20,Architectural and engineering model maker,Model/aero/architectural maker (architectural and engineering model maker),"A-WING, 36, Dr Annie Besant Rd, Tulsi Vihar, Gopal Nagar, Worli, Mumbai, Maharashtra 400025, India"
MANUFACTURER,GMaps,Airmodelcrafts,Delhi,+91 99535 17691,,5★/60,Aeromodel shop,Model/aero/architectural maker (aeromodel shop),"paschim vihar east metro station, opp. to pilar 218, Delhi 110063, India"
MANUFACTURER,GMaps,Aradioc Pvt. Ltd.,Hyderabad,+91 86864 46535,,4.7★/190,Aeromodel shop,Model/aero/architectural maker (aeromodel shop),"1-398/35, IAS Colony, Toli Chowki, Hyderabad, Telangana 500008, India"
MANUFACTURER,GMaps,Jacks-Hobbies,Hyderabad,+91 95023 76611,,3.8★/215,Aeromodel shop,Model/aero/architectural maker (aeromodel shop),"1st floor, plot No, 1, Rd Number 3, North H Block, Journalist Colony, Banjara Hills, Hyderabad, Telangana 500082, India"
MANUFACTURER,GMaps,RC-Udayan,Pune,+91 98503 34353,,3.8★/9,Aeromodel shop,Model/aero/architectural maker (aeromodel shop),"8, Omkar Society, Opp. Rakshalekha Society, Dattawadi, Pune, Maharashtra 411030, India"
MANUFACTURER,GMaps,Aeromodelling hobbies,Pune,+91 84838 38794,,None★/None,Aeromodel shop,Model/aero/architectural maker (aeromodel shop),"GAGAN VIHAR, B2, Bibwewadi Kondhwa Rd, opp. meghdoot hotel, Gaganvihar, Gangadham Phase II, Ganga Dham, Pune, Maharashtra 411037, India"
MANUFACTURER,GMaps,Desai's Art Studio,Pune,+91 87883 51123,,5★/19,Architectural and engineering model maker,Model/aero/architectural maker (architectural and engineering model maker),"Vitthal Prasad Building, Lane : 13B, houseing society, Garmal, Dhayari, Pune, Maharashtra 411041, India"
MANUFACTURER,GMaps_R2,Sky Aviation Store,Ahmedabad,+91 96646 17241,,5★/10,Aeromodel shop,Model/aero/architectural maker (aeromodel shop),"Shop no.17, People's plaza basement, fire station, beside Navrangpura, Navrangpura, Ahmedabad, Gujarat 380001, India"
MANUFACTURER,GMaps,Universal Wooden Toys - Manufacture & Wholesaler of Wooden Toys,Mumbai,+91 90824 30744,,5★/213,Toy manufacturer,Toy manufacturer category (re-classified),"21, A Wing, SUMUKH HILLS, Western Urban Rd, near Akurli Metro Station, off to, Kandivali, Akurli Nagar, Kandivali East, Mumbai, Maharashtra 400101, India"
MANUFACTURER,GMaps_R2,Style Baby Toys (SBT),Surat,+91 97373 38555,,5★/5,Toy manufacturer,Toy manufacturer category (re-classified),"PaniGam, Ramkatha Rd, Aamba Talavadi, Sahyog Society, Katargam, Surat, Gujarat 395004, India"
MANUFACTURER,GMaps_R2,Firstscribble,Surat,+91 94083 89543,,5★/2,Toy manufacturer,Toy manufacturer category (re-classified),"276, near Kantareshwar Mandir, Narayan Nagar, Katargam, Surat, Gujarat 395004, India"
MANUFACTURER,GMaps_R2,Shakti Toys,Surat,+91 98258 48005,,4.9★/108,Toy manufacturer,Toy manufacturer category (re-classified),"Shop No, Navnath Society, Industrial Building, 201 to 204, Causeway Rd, nr. Old Chandan Gas Godown, Khodiyar Krupa Society, Katargam, Surat, Gujarat 395004, India"
MANUFACTURER,GMaps_R2,The SAGA,Surat,,,None★/None,Toy manufacturer,Toy manufacturer category (re-classified),"C-1, snehsagar society, Narayan Nagar, Katargam, Select City, Surat, Gujarat 395004, India"
MANUFACTURER,GMaps,PREM RATNA TOYS,Mumbai,+91 80801 91994,,4.6★/274,Toy manufacturer,Toy manufacturer category (re-classified),"Harichand Compound, 11, Lal Bahadur Shastri Marg, near Godrej Petrol Pump, Godrej & Boyce Industry Estate, Vikhroli West, Mumbai, Maharashtra 400079, India"
MANUFACTURER,GMaps,Krazy Jackal,Delhi,,,5★/13,Toy manufacturer,Toy manufacturer category (re-classified),"Bhanot Trade Centre, 207-208, Market, opp. Jwala Heri, Friends Tower, A 2B Block, Paschim Vihar, New Delhi, Delhi, 110063, India"
MANUFACTURER,GMaps,Ashish Trading Co.,Delhi,+91 88009 62840,,4.8★/21,Toy manufacturer,Toy manufacturer category (re-classified),"Office - BC, 67A, Block BC, Poorbi Shalimar Bag, Shalimar Bagh, Delhi, 110088, India"
MANUFACTURER,GMaps,Toy car repair,Hyderabad,+91 73300 92616,,4.9★/86,Toy manufacturer,Toy manufacturer category (re-classified),"RK Puram, Snehapuri Colony, Kothapet, Hyderabad, Telangana 500102, India"
MANUFACTURER,GMaps_R2,A To Z toys and games,Surat,,,3★/2,Toy manufacturer,Toy manufacturer category (re-classified),"6Q3Q+2J9, Adajan Gam, Adajan, Surat, Gujarat 395009, India"
MANUFACTURER,GMaps_R2,Khilona House,Surat,,,1★/2,Toy manufacturer,Toy manufacturer category (re-classified),"shop no-1 basement, kashatbhajan livino, D-Mart, Singanpor Rd, River Park Society, Singanpor, Surat, Gujarat 395004, India"
MANUFACTURER,GMaps_R2,Ami Toy”s,Surat,+91 98254 79604,,4.7★/32,Toy manufacturer,Toy manufacturer category (re-classified),"9/1411, 1413, Ambaji Rd, Hawadiya Chakla, Gopipura, Surat, Gujarat 395003, India"
